PIN,Property_Address,Property_Class,Census_Tract,Type_of_Residence,Rooms,Bedrooms,Basement,Fireplaces,Central_Air,Building_Square_Feet,Land_Square_Feet,Age,Longitude,Latitude,Walkscore,Walkfac,Sale_Price,Total_Baths,Log_Sale_Price
8.12417E+12,613 S SCHOOL ST MOUNT PROSPECT,203,804901,1,6,4,Full,1,1,1461,8712,60,-87.93069124,42.05418397,49,Car-Dependent,298000,1.5,12.60484877
5.31305E+12,919 E GLENWOOD RD GLENVIEW,204,801400,1,7,3,Full,1,1,1957,20500,67,-87.76311604,42.07116468,18,Car-Dependent,425000,1.5,12.95984445
1.33231E+13,1747 N MERRIMAC AVE,203,250400,?,6,3,Full,0,0,1520,3937,90,-87.7810411,41.9123306,73,Very Walkable,285000,1.5,12.56024446
1.22322E+13,3758 N PARIS,202,170500,1-story,5,2,Full,0,0,904,3720,57,-87.830712,41.9484196,47,Car-Dependent,226000,1,12.32829028
1.53412E+13,9542 W MONROE,203,818800,1-story,5,3,Partial,0,0,1033,6250,58,-87.8609794,41.8293439,55,Somewhat Walkable,178000,1,12.08953883
1.53432E+13,3717 CLEVELAND AV,202,818800,?,5,3,Full,0,1,1223,7500,62,-87.8584091,41.8230864,50,Car-Dependent,212500,1.5,12.26669727
9.28403E+12,2207 S SCOTT ST DES PLAINES,203,806502,1,6,4,Full,1,1,1484,6411,54,-87.87433471,42.01341183,47,Car-Dependent,250000,1.5,12.4292162
1.21621E+13,9854  MONTROSE AVE SCHILLER PARK,202,770800,1,5,3,Full,0,1,968,5500,56,-87.87324806,41.95858602,52,Somewhat Walkable,183000,1,12.11724143
1.92521E+13,7236 S ARTESIAN,202,661000,1-story,4,2,Full,1,0,780,3150,86,-87.6848954,41.7617625,64,Somewhat Walkable,185000,1,12.1281111
2.52842E+13,31 E 124TH ST,203,530600,1-story,6,3,Full,0,0,1248,3150,84,-87.6210483,41.6687188,26,Car-Dependent,80000,1,11.28978191
1.22842E+13,2643  REUTER AVE FRANKLIN PARK,205,811402,2,7,4,Partial,0,1,1808,6075,66,-87.86910088,41.92734729,73,Very Walkable,212000,2,12.26434155
2.41622E+13,10528 S LAVERGNE AE,207,822602,2-story,6,4,Full,0,0,1968,7370,45,-87.7452495,41.7007465,67,Somewhat Walkable,275000,2.5,12.52452638
1.21241E+13,7521 WINONA ST,203,770901,1-story,6,3,Full,0,1,1104,3720,46,-87.8155761,41.973183,58,Somewhat Walkable,199900,1,12.20557252
2.32742E+13,8823 W 126TH ST,203,823901,1-story,7,4,Partial,1,1,1308,67659,65,-87.8371509,41.6610638,16,Car-Dependent,285000,1.5,12.56024446
1.70613E+13,2034 W CRYSTAL,203,241400,1-story,6,3,Full,0,0,1230,2875,113,-87.6787152,41.9042716,94,Walker's Paradise,514000,1,13.14997854
1.02722E+13,7710  KEDVALE AVE SKOKIE,203,807600,1,6,3,Full,0,1,1288,4920,60,-87.73230295,42.02121169,50,Car-Dependent,227000,2,12.3327053
2.51242E+13,10126 S CRANDON,204,510300,?,8,4,Partial,0,0,1977,5208,71,-87.5672191,41.7108178,40,Car-Dependent,152000,2,11.9316358
1.61731E+13,1019 S LOMBARD AVE,205,813100,2-story,8,4,Full,0,0,1316,3125,83,-87.7795039,41.8701266,73,Very Walkable,335000,2,12.72188581
1.22512E+13,7837 W ELMGROVE DR ELMWOOD PARK,204,810800,1,5,3,Full,0,1,1110,3619,88,-87.82293627,41.93280783,60,Somewhat Walkable,399900,1,12.89896979
1.32511E+13,3014 N ALBANY,202,210700,?,5,3,Full,0,0,930,3150,124,-87.7053976,41.9361549,87,Very Walkable,315000,1,12.66032792
1.02812E+13,5428  BRUMMEL ST SKOKIE,203,807700,1,6,3,Full,0,1,1322,4960,61,-87.76341127,42.02122489,54,Somewhat Walkable,325000,2,12.69158046
1.8172E+13,5840 SUNSET,203,820104,1-story,7,3,Partial,0,0,1420,16665,62,-87.8827036,41.7833549,39,Car-Dependent,356000,1,12.78268601
2.72421E+13,7519 160TH PLACE,203,824123,1-story,6,3,Full,0,1,1044,7687,36,-87.802441,41.5989829,62,Somewhat Walkable,210000,1.5,12.25486281
2.00812E+13,1316 W 50TH ST,203,611100,1-story,4,2,Partial,0,0,1020,3125,45,-87.6582479,41.8033938,78,Very Walkable,99000,1,11.50287513
2.81721E+13,15233 CHAUCER DR,203,824505,1-story,6,3,Full,0,1,1394,6820,45,-87.757228,41.6145759,35,Car-Dependent,242000,1.5,12.39669301
9.35307E+12,732 S DELPHIA AVE PARK RIDGE,205,805701,2,7,4,Full,2,1,1730,6622,73,-87.84236167,42.00145522,40,Car-Dependent,300000,2.5,12.61153775
4.242E+12,536  HAPP RD NORTHFIELD,205,801800,2,6,4,Full,1,1,1622,18122,73,-87.77731772,42.10595327,47,Car-Dependent,395000,1.5,12.88664104
1.23221E+13,448  ARMITAGE AVE NORTHLAKE,203,811301,1,6,3,Partial,0,1,1266,11040,58,-87.88603925,41.91503448,60,Somewhat Walkable,58000,1,10.96819829
9.2721E+12,819  MARVIN PKWY PARK RIDGE,205,805501,2,6,3,Full,1,1,1629,7100,85,-87.84791113,42.02095299,58,Somewhat Walkable,405000,1.5,12.91164235
9.13325E+12,8821  OTTAWA AVE MORTON GROVE,203,805301,1,5,3,Partial,0,1,1127,6250,50,-87.81732891,42.0414491,62,Somewhat Walkable,221250,1.5,12.30704856
3.13611E+13,14609 S UNION,203,830300,1-story,7,3,Partial,0,1,1524,8246,57,-87.6388504,41.6584025,37,Car-Dependent,124000,1.5,11.72803684
2.352E+12,3703  RYWICK DR ROLLING MEADOWS,202,804000,1,6,2,Partial,0,1,940,3064,28,-88.02793014,42.07989262,46,Car-Dependent,234500,2,12.36521087
1.9152E+13,5534 S KOLIN AV,203,620300,1-story,6,4,Full,0,1,1050,3150,88,-87.7319968,41.7920515,69,Somewhat Walkable,246000,1,12.41308681
1.93212E+13,6801 WEST 63RD PL,203,821002,1-story,6,3,Full,0,1,1286,6111,46,-87.7911468,41.7763864,60,Somewhat Walkable,237000,1.5,12.37581542
1.22531E+13,2734 N 76TH AVE ELMWOOD PARK,205,810800,2,4,2,Full,0,1,1560,3810,85,-87.81659916,41.93013501,75,Very Walkable,392500,1,12.88029182
1.31913E+13,P O BOX 1312,203,170300,1-story,5,3,Full,0,0,1059,3810,52,-87.8406192,42.0111412,82,Very Walkable,180000,1,12.10071213
